URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/CodeSystem/gender-cs,0.1.0,draft,,GenderCS,Gender,"","ValueSet/gender-vs,ConceptMap/Dhis2GenderToAdministrativeGender"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ConceptMap/Dhis2GenderToAdministrativeGender"
